date;unemp
1977-07-01;476
1977-08-01;490
1977-09-01;478
1977-10-01;468
1977-11-01;482
1977-12-01;498
1978-01-01;492
1978-02-01;484
1978-03-01;459
1978-04-01;435
1978-05-01;412
1978-06-01;396
1978-07-01;408
1978-08-01;414
1978-09-01;403
1978-10-01;392
1978-11-01;404
1978-12-01;419
1979-01-01;412
1979-02-01;408
1979-03-01;388
1979-04-01;369
1979-05-01;351
1979-06-01;338
1979-07-01;352
1979-08-01;358
1979-09-01;351
1979-10-01;345
1979-11-01;361
1979-12-01;381
1980-01-01;395
1980-02-01;401
1980-03-01;398
1980-04-01;403
1980-05-01;403
1980-06-01;415
1980-07-01;442
1980-08-01;461
1980-09-01;455
1980-10-01;448
1980-11-01;462
1980-12-01;477
1981-01-01;476
1981-02-01;474
1981-03-01;460
1981-04-01;451
1981-05-01;443
1981-06-01;441
1981-07-01;462
1981-08-01;481
1981-09-01;477
1981-10-01;476
1981-11-01;502
1981-12-01;529
